Search term	Impressions	Clicks	CTR	CPC	Spend	Seven_Day_Total_Sales	ACoS	RoAS	Seven_Day_Total_Orders	Seven_Day_Total_Units	Seven_Day_Total_Rate	Seven_Day_Advertised_SKU_Units	Seven_Day_Other_SKU_Units	Seven_Day_Advertised_SKU_Sales	Seven_Day_Other_SKU_Sales = 22	
boss lady coffee mug	  1802.000	    26.000	     0.014	    14.860	    21.710	    59.690	     0.364	    66.920	     4.000	     5.000	   350.000	     5.000	     0.000	    59.690	     0.000
nurse boss gift	     2.000	     1.000	     0.500	     0.690	     0.690	    11.940	     0.058	    17.300	     1.000	     1.000	   100.000	     1.000	     0.000	    11.940	     0.000
super boss mug	     2.000	     1.000	     0.500	     0.600	     0.600	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss bday gifts	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
cute boss gifts	     1.000	     1.000	     1.000	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss man	   365.000	     6.000	     0.016	     5.010	     5.010	    11.940	     0.420	    16.580	     1.000	     1.000	   100.000	     1.000	     0.000	    11.940	     0.000
gift ideas for boss	   109.000	     4.000	     0.037	     2.370	     2.370	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss travel mug	     3.000	     1.000	     0.333	     0.760	     0.760	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
appreciation gifts for bosses	     2.000	     1.000	     0.500	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gifts for girl boss	     2.000	     1.000	     0.500	     0.580	     0.580	    12.600	     0.046	    21.720	     1.000	     1.000	   100.000	     1.000	     0.000	    12.600	     0.000
best lady boss gifts	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug guy	     2.000	     1.000	     0.500	     0.560	     0.560	    12.700	     0.044	    22.680	     1.000	     1.000	   100.000	     1.000	     0.000	    12.700	     0.000
birthday coffee mugs for your boss	     2.000	     1.000	     0.500	     0.570	     0.570	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mugs for your boss	     5.000	     2.000	     0.400	     1.200	     1.200	    12.700	     0.094	    18.680	     1.000	     1.000	   100.000	     1.000	     0.000	    12.700	     0.000
gifts for a boss and friend	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
great boss gifts	   274.000	    10.000	     0.036	     2.870	     6.220	    37.240	     0.167	    19.700	     3.000	     3.000	   128.571	     3.000	     0.000	    37.240	     0.000
large boss mug	     5.000	     2.000	     0.400	     0.570	     1.140	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss of the year mug	     5.000	     2.000	     0.400	     1.180	     1.180	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss ornament	     1.000	     1.000	     1.000	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
girl boss mug	   216.000	     6.000	     0.028	     3.120	     4.320	    12.890	     0.335	    23.440	     1.000	     1.000	   100.000	     0.000	     1.000	     0.000	     0.000
mom boss mug	     5.000	     1.000	     0.200	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
retired boss gift	     2.000	     1.000	     0.500	     0.300	     0.300	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever mug the office	    17.000	     4.000	     0.235	     3.170	     3.170	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss mug pink	     1.000	     1.000	     1.000	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
ford boss mug	     1.000	     1.000	     1.000	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
personalized best boss mug	     0.000	     0.000	     0.000	     0.000	     0.000	    12.660	     0.000	     0.000	     1.000	     1.000	     0.000	     1.000	     0.000	    12.660	     0.000
birthday gifts for boss male	     1.000	     1.000	     1.000	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss ever the office	     1.000	     1.000	     1.000	     0.550	     0.550	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best boss personalized mug the office	     2.000	     1.000	     0.500	     0.240	     0.240	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss appreciation gifts	    74.000	     5.000	     0.068	     1.060	     2.870	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss babe mug	    66.000	     1.000	     0.015	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for a boss friend	     2.000	     1.000	     0.500	     0.490	     0.490	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gift	   247.000	    10.000	     0.040	     2.700	     5.880	    13.880	     0.424	    19.830	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
best boss mug female	     2.000	     1.000	     0.500	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gift leaving	     4.000	     1.000	     0.250	     0.510	     0.510	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs boss	     2.000	     1.000	     0.500	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
1 boss gifts	    15.000	     1.000	     0.067	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss birthday gifts	    27.000	     3.000	     0.111	     1.170	     1.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gift basket	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for women boss	     2.000	     1.000	     0.500	     0.420	     0.420	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
farewell gifts boss	     0.000	     0.000	     0.000	     0.000	     0.000	    24.400	     0.000	     0.000	     2.000	     2.000	     0.000	     2.000	     0.000	    24.400	     0.000
gifts for a doctor boss	     1.000	     1.000	     1.000	     0.630	     0.630	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gifts for men bosses	     2.000	     1.000	     0.500	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny boss mug	   748.000	    11.000	     0.015	     8.090	     9.150	    13.880	     0.659	    12.180	     1.000	     1.000	   100.000	     1.000	     0.000	    13.880	     0.000
gift to boss	     3.000	     2.000	     0.667	     1.130	     1.130	    12.400	     0.091	    28.180	     1.000	     1.000	   100.000	     1.000	     0.000	    12.400	     0.000
gifts for boss leaving	     9.000	     2.000	     0.222	     1.330	     1.330	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss coffee mug	    15.000	     3.000	     0.200	     2.020	     2.020	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mug for men	   144.000	     3.000	     0.021	     2.180	     2.180	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
favorite boss gifts	     1.000	     1.000	     1.000	     0.640	     0.640	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
large coffee mugs 20 oz boss	     2.000	     1.000	     0.500	     0.230	     0.230	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds okayest boss mug	    34.000	     3.000	     0.088	     1.990	     1.990	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss mugs large	     2.000	     1.000	     0.500	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug world's best boss	     1.000	     1.000	     1.000	     0.780	     0.780	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
engraveable gifts for boss	     1.000	     1.000	     1.000	     0.620	     0.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
mugs for bosses	    19.000	     3.000	     0.158	     1.650	     2.350	    51.960	     0.045	    54.690	     1.000	     4.000	   100.000	     4.000	     0.000	    51.960	     0.000
nice mug for boss	     1.000	     1.000	     1.000	     0.420	     0.420	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
coffee mug for a male boss	     1.000	     1.000	     1.000	     0.700	     0.700	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
floral boss gift	     1.000	     1.000	     1.000	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny coffee mugs for boss	     4.000	     1.000	     0.250	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gifts for a guy boss	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world's best boss cup	     1.000	     1.000	     1.000	     0.650	     0.650	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss' day gift	     9.000	     1.000	     0.111	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss's day gifts	   649.000	     7.000	     0.011	     3.880	     4.550	    12.060	     0.377	    24.610	     1.000	     1.000	   100.000	     1.000	     0.000	    12.060	     0.000
coffee mugs that say boss on it	     2.000	     1.000	     0.500	     0.500	     0.500	    12.060	     0.041	    24.120	     1.000	     1.000	   100.000	     1.000	     0.000	    12.060	     0.000
gift for boss retiring	     1.000	     1.000	     1.000	     0.610	     0.610	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
#1 boss mug	     5.000	     3.000	     0.600	     2.040	     2.040	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
15 oz coffee mug for boss day	     3.000	     1.000	     0.333	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
best gifts for boss woman	     1.000	     1.000	     1.000	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss	   822.000	    14.000	     0.017	     8.210	    11.680	    22.600	     0.517	    28.680	     2.000	     2.000	   133.333	     2.000	     0.000	    22.600	     0.000
best boss in the world	     6.000	     2.000	     0.333	     1.680	     1.680	    11.950	     0.141	    10.960	     1.000	     1.000	   100.000	     1.000	     0.000	    11.950	     0.000
boss gag gifts	    55.000	     1.000	     0.018	     0.660	     0.660	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gift personalized	     1.000	     1.000	     1.000	     0.270	     0.270	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
gift for boss women	     7.000	     1.000	     0.143	     0.720	     0.720	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny coffee mug boss	    97.000	     3.000	     0.031	     2.450	     2.450	    13.120	     0.187	    16.000	     1.000	     1.000	   100.000	     1.000	     0.000	    13.120	     0.000
best boss plaque	    42.000	     3.000	     0.071	     0.930	     1.620	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
birthday gifts for my boss	     1.000	     1.000	     1.000	     0.220	     0.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
world best boss mug the office	    35.000	     4.000	     0.114	     2.080	     2.780	    12.770	     0.218	     9.120	     1.000	     1.000	    50.000	     1.000	     0.000	    12.770	     0.000
world's best boss mug the office	    28.000	     2.000	     0.071	     0.860	     1.720	    13.600	     0.126	     7.910	     1.000	     1.000	    50.000	     1.000	     0.000	    13.600	     0.000
worlds greatest boss gifts	     6.000	     1.000	     0.167	     0.690	     0.690	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss day gifts for women travel mug	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss gifts men	     1.000	     1.000	     1.000	     0.710	     0.710	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss man mug	  1278.000	     7.000	     0.005	     3.750	     5.000	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
boss themed gifts	     1.000	     1.000	     1.000	     0.590	     0.590	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
funny boss gift	     2.000	     1.000	     0.500	     0.680	     0.680	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
worlds best boss	 15016.000	    85.000	     0.006	    37.740	    73.720	   292.670	     0.252	   134.890	    23.000	    24.000	   926.814	    20.000	     4.000	   240.000	     0.000
best boss cup	  1660.000	    12.000	     0.007	     9.320	    11.370	    28.560	     0.398	    20.560	     2.000	     3.000	   150.000	     3.000	     0.000	    28.560	     0.000
best boss giant mugs	     4.000	     1.000	     0.250	     0.220	     0.220	     0.000	  1000.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000	     0.000
